,Country/Region,Date,Confirmed,Deaths
0,Australia,2020-01-22,0,0
1,Australia,2020-01-23,0,0
2,Australia,2020-01-24,0,0
3,Australia,2020-01-25,0,0
4,Australia,2020-01-26,4,0
5,Australia,2020-01-27,5,0
6,Australia,2020-01-28,5,0
7,Australia,2020-01-29,6,0
8,Australia,2020-01-30,9,0
9,Australia,2020-01-31,9,0
10,Australia,2020-02-01,12,0
11,Australia,2020-02-02,12,0
12,Australia,2020-02-03,12,0
13,Australia,2020-02-04,13,0
14,Australia,2020-02-05,13,0
15,Australia,2020-02-06,14,0
16,Australia,2020-02-07,15,0
17,Australia,2020-02-08,15,0
18,Australia,2020-02-09,15,0
19,Australia,2020-02-10,15,0
20,Australia,2020-02-11,15,0
21,Australia,2020-02-12,15,0
22,Australia,2020-02-13,15,0
23,Australia,2020-02-14,15,0
24,Australia,2020-02-15,15,0
25,Australia,2020-02-16,15,0
26,Australia,2020-02-17,15,0
27,Australia,2020-02-18,15,0
28,Australia,2020-02-19,15,0
29,Australia,2020-02-20,15,0
30,Australia,2020-02-21,15,0
31,Australia,2020-02-22,15,0
32,Australia,2020-02-23,15,0
33,Australia,2020-02-24,15,0
34,Australia,2020-02-25,15,0
35,Australia,2020-02-26,15,0
36,Australia,2020-02-27,15,0
37,Australia,2020-02-28,15,0
38,Australia,2020-02-29,25,0
39,Australia,2020-03-01,27,1
40,Australia,2020-03-02,30,1
41,Australia,2020-03-03,39,1
42,Australia,2020-03-04,52,2
43,Australia,2020-03-05,55,2
44,Australia,2020-03-06,60,2
45,Australia,2020-03-07,63,2
46,Australia,2020-03-08,76,3
47,Australia,2020-03-09,91,3
48,Australia,2020-03-10,107,3
49,Australia,2020-03-11,128,3
50,Australia,2020-03-12,128,3
51,Australia,2020-03-13,200,3
52,Australia,2020-03-14,250,3
53,Australia,2020-03-15,297,3
54,Australia,2020-03-16,377,3
55,Australia,2020-03-17,452,5
56,Australia,2020-03-18,568,6
57,Australia,2020-03-19,681,6
58,Australia,2020-03-20,791,7
59,Australia,2020-03-21,1071,7
60,Australia,2020-03-22,1549,7
61,Australia,2020-03-23,1682,7
